T,T1,regime,group,thscode,name,industry,score,factors,reason,catalyst,tech,watch,watch_range,risk,priority
2026-01-05,2026-01-06,aggressive,lu,002925.SZ,盈趣科技,消费电子,91.0,"{'theme': 1.0, 'ladder': 0.55, 'seal': 1.0, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 脑机接口方向 1板 封单比25.4% 涨停时间09:30 题材内涨停29家 成交4.3亿,脑机接口+机器人+智能制造+摩尔线程,1连板 换手承接量比1.81,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收18.63,高位情绪兑现/次日低开大幅回撤/炸板断板,1
2026-01-05,2026-01-06,aggressive,lu,002555.SZ,三七互娱,游戏,91.0,"{'theme': 1.0, 'ladder': 0.55, 'seal': 1.0, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 脑机接口方向 1板 封单比17.7% 涨停时间09:36 题材内涨停29家 成交12.1亿,脑机接口+AI游戏+小游戏流水,1连板 换手承接量比0.86,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收25.96,高位情绪兑现/次日低开大幅回撤/炸板断板,1
2026-01-05,2026-01-06,aggressive,nlu,002250.SZ,联化科技,农化制品,91.33203125,"{'sector': 0.7132812500000001, 'trend': 1.0, 'pos': 1.0, 'mom': 1.0, 'liq': 1.0, 'recog': 0.85}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[农化制品](当日涨幅分位67%, 板块涨停2家) 距60日高点17.2% 20日涨幅12.1%",板块[农化制品]轮动延续/资金承接,收盘13.23 MA20上方 量比0.91,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收13.23,板块退潮补跌/资金承接不足/持续阴跌,1
2026-01-06,2026-01-07,aggressive,lu,600266.SH,城建发展,房地产,100.0,"{'theme': 1.0, 'ladder': 1.0, 'seal': 1.0, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 商业航天方向 3板 封单比16.3% 涨停时间09:31 题材内涨停12家 成交7.6亿,商业航天+北京国资+房地产,3连板 换手承接量比1.11,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收6.14,高位情绪兑现/次日低开大幅回撤/炸板断板,1
2026-01-06,2026-01-07,aggressive,lu,002925.SZ,盈趣科技,消费电子,98.0,"{'theme': 1.0, 'ladder': 0.9, 'seal': 1.0, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 脑机接口方向 2板 封单比42.8% 涨停时间09:25 题材内涨停17家 成交4.7亿,脑机接口+机器人+智能制造+摩尔线程,2连板 换手承接量比1.50,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收20.49,高位情绪兑现/次日低开大幅回撤/炸板断板,1
2026-01-06,2026-01-07,aggressive,nlu,002338.SZ,奥普光电,军工电子,92.3203125,"{'sector': 0.9028125, 'trend': 1.0, 'pos': 0.85, 'mom': 1.0, 'liq': 1.0, 'recog': 0.85}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[军工电子](当日涨幅分位84%, 板块涨停6家) 距60日高点14.4% 20日涨幅15.2%",板块[军工电子]轮动延续/资金承接,收盘60.15 MA20上方 量比0.89,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收60.15,板块退潮补跌/资金承接不足/持续阴跌,1
2026-01-07,2026-01-08,defensive,lu,600435.SH,北方导航,军工装备,86.0,"{'theme': 0.2, 'ladder': 0.9, 'seal': 1.0, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 卫星通信方向 2板 封单比18.1% 涨停时间09:35 题材内涨停2家 成交19.1亿,卫星通信+军工制导+央企,2连板 换手承接量比0.93,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收19.82,高位情绪兑现/次日低开大幅回撤/炸板断板,1
2026-01-07,2026-01-08,defensive,lu,603125.SH,常青科技,化学制品,84.0,"{'theme': 0.8, 'ladder': 0.55, 'seal': 1.0, 'time': 1.0, 'liq': 0.6, 'struct': 1.0}",涨停组: 光刻胶方向 1板 封单比41.5% 涨停时间09:39 题材内涨停5家 成交2.0亿,光刻胶+风电+特种单体,1连板 换手承接量比2.22,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收18.74,高位情绪兑现/次日低开大幅回撤/炸板断板,1
2026-01-07,2026-01-08,defensive,nlu,002044.SZ,美年健康,医疗服务,96.171875,"{'sector': 0.9068750000000001, 'trend': 1.0, 'pos': 1.0, 'mom': 1.0, 'liq': 1.0, 'recog': 0.85}","非涨停组: 趋势结构多头(MA20>MA60且上行), 处于活跃板块[医疗服务](当日涨幅分位86%, 板块涨停2家) 距60日高点16.5% 20日涨幅5.5%",板块[医疗服务]轮动延续/资金承接,收盘5.40 MA20上方 量比0.87,"次日开盘[-2%,+3%]为观察区间; 收盘站上max(开盘,昨收)视为买点触发",昨收5.40,板块退潮补跌/资金承接不足/持续阴跌,1
2026-01-08,2026-01-09,normal,lu,001400.SZ,江顺科技,专用设备,94.0,"{'theme': 1.0, 'ladder': 1.0, 'seal': 0.7, 'time': 1.0, 'liq': 1.0, 'struct': 1.0}",涨停组: 商业航天方向 3板 封单比10.9% 涨停时间09:35 题材内涨停18家 成交3.1亿,商业航天+液冷服务器+铝挤压模具,3连板 换手承接量比0.84,"次日竞价与开盘承接: 高开幅度观察区间[-2%,+5%]; 开盘涨幅≤+3%且不破昨收-3%视为买点触发",昨收103.26,高位情绪兑现/次日低开大幅回撤/炸板断板,1
